id,text,commodity_id,writer,date,recommend
1,Quality is acceptable given the price so there is nothing to complain. Overall happy with purchase.,1,ser*******,2017/2/5,Recommend
2,Ordered near CNY &amp; delivered on time for CNY. Quality ok but 1 of the item can't fit as it's not elastic enough even though it's free size.,1,dol*******,2017/2/4,netural
3,the material not so good,1,joa*******,2017/2/4,Not Recommend
4,Items received in good order..managed to get big sizes,1,hay*******,2017/2/3,Highly Recommend
5,"True to picture. Love them. However, seller sent me 4pcs instead of 5 that I ordered. N  cancel my order without my acknowledgment. Wth.",1,sno*******,2017/2/2,Highly Recommend
6,"[CNY SALE] Fashion Lady Dress, will Recommend.",1,shi*******,2017/2/2,Recommend
7,"[CNY SALE] Fashion Lady Dress, will Recommend.",1,shi*******,2017/2/2,Recommend
8,"came on time, recommended.",1,scr*******,2017/1/31,Highly Recommend
9,"Blue dress too sheer, doesn't look nice to wear shorts under too. Not sure how I'm going to use it. Teal dress worn as a coat with shorts as it is too short and rises up when I move my hands. Same for the pink dress/long shirt. Really like the teal and pink outfits!",1,wat*******,2017/1/30,Recommend
10,"This time out of 7 pieces, I only like 2.  The material and workmanship of the rest aren't so good.",1,Teo*******,2017/1/29,netural
11,Received with thanks.  Lovely buy.,1,*******,2017/1/27,Highly Recommend
12,Cheap and fast delivery. Quality is so-so.,1,*******,2017/1/27,Highly Recommend
13,Order 4 items only 3 items received. Will purchase again but not on during CNY time as the delivery take longer than usual.,1,*******,2017/1/26,Recommend
14,ok..................,1,*******,2017/1/26,Recommend
15,Size too small and the quality not so good,1,*******,2017/1/25,netural
16,"Seller totally unresponsive for more than a month already, despite my simple query on size exchange was sent multiples times. Delivery timeline acceptable. Product quality wise, what you pay is what you get. Will not buy from this seller again.",1,*******,2017/1/25,Not Recommend
17,"GROUP:MW / TYPE:X3 \
Color:white / Size:2XL\
Bought this item as above. The clothing has a very awfully smell(vomiting smell), very unbearable!! \
Colour also not very white. Have send request for either an exchange or refund but no response at all. Will not purchase again!!",1,*******,2017/1/25,Not Recommend
18,"What you paid for is what you got!\
Material used is very cheap. White top is so thin &amp; transparent. The sewing on Black top is so untidy!\
Lots of uncut threads. Don't expect too much..",1,*******,2017/1/24,netural
19,"Cheap! Please measure yourself, because items range up to 2xl.",1,*******,2017/1/22,Recommend
20,Order two items but only received this. Claiming non-receipt as seller is not responding.,1,*******,2017/1/22,netural
21,Item received in good condition and material is good too.,1,*******,2017/1/22,Recommend
22,Good quality. Size is pretty accurate to what's been provided. However the denim skirt was too big. Thought I would need 4XL but apparently not. It's way to big. Should've gotten smaller size. So follow the chart given. It's quite good! Would purchase again,1,*******,2017/1/22,Highly Recommend
23,Quality is not so good. Material is thin and design defer from photo.,1,*******,2017/1/22,netural
24,"Most clothes quality came quite well except one. The dress which comes with a white shirt inside. The outer dress quality is poor. Looks like the cloth was just randomly cut up, no stitching at sides. Other than than, the 3 other pieces I ordered were fine.",1,*******,2017/1/22,Recommend
25,nice overall repeated customers,1,*******,2017/1/22,Recommend
26,Love the tops u buy. Price is awesome,1,*******,2017/1/21,Highly Recommend
27,No comment at all......,1,*******,2017/1/21,netural
28,Received in good condition . Material is very thin,1,*******,2017/1/20,Not Recommend
29,Comes with good quality and inner singlet.,1,*******,2017/1/20,Highly Recommend
30,Items received in good condition.....,1,*******,2017/1/20,Recommend
31,Very good quality. Highly recommended,1,*******,2017/1/20,Highly Recommend
32,Fast delivery.. Good material ..,1,*******,2017/1/20,Highly Recommend
33,"Delivery fast....................................,,,",1,*******,2017/1/19,Highly Recommend
34,Delivery and material is ok.,1,*******,2017/1/19,Recommend
35,This time round items are not bad accept for 1 top the material is horrible and the size not accurate at all... overall neutral only...,1,*******,2017/1/19,netural
36,Item received in good condition.,1,*******,2017/1/19,Recommend
37,"Items recd in good condition \
Thanks",1,*******,2017/1/18,Recommend
38,Sizing abit big delivery takes 10 days,1,*******,2017/1/18,netural
39,Material good .. will order again,1,*******,2017/1/18,Highly Recommend
40,Material is not stretchable. Disappointed.,1,*******,2017/1/18,netural
41,Item delivered super fast by qxpress,1,*******,2017/1/18,Highly Recommend
42,"received with good condition, but some size is very big. Thanks.",1,*******,2017/1/18,Highly Recommend
43,"I buy 10 items but only received 8 items, please guides.",1,*******,2017/1/18,Recommend
44,"Happy with purchase. Comfortable top, value for money",1,*******,2017/1/18,Highly Recommend
45,Item received.... not too happy as I tot material would be cotton,1,*******,2017/1/18,Highly Recommend
46,"Items received, sizes are accurate, but materials not as per description.",1,*******,2017/1/18,Recommend
47,Item received in superb condition. consider good material at a good cost. worth!,1,*******,2017/1/17,Highly Recommend
48,"Items very good &amp; cheap. Worth buying again.\
Delivery also very fast.",1,*******,2017/1/17,Highly Recommend
49,Super lousy. Can't even recognize that I bought such a dress. Totally different from pix. Do not get cheated,1,*******,2017/1/17,Not Recommend
50,Item too small............................,1,*******,2017/1/17,netural
51,The sizes are much smaller than those stated. It has a weird smell.,1,*******,2017/1/17,netural
52,Sizes were not quite what they stated.  Quality is ok for the price.,1,*******,2017/1/17,Recommend
53,Fast and quick delivery. Materials not that bad. Love it.,1,*******,2017/1/17,Highly Recommend
54,Received many days ago................,1,*******,2017/1/17,Highly Recommend
55,"Some received not as in pic , different and disappointed",1,*******,2017/1/17,netural
56,"Weird material, clings to body. unwearable. Length is too short as well.",1,*******,2017/1/17,Not Recommend
57,Received with good condition. Ordinary quality.,1,*******,2017/1/17,netural
58,Acceptable quality with this price.,1,*******,2017/1/17,Recommend
59,Quality so so.. delivery quite ok.,1,*******,2017/1/17,netural
60,Received within 5days. Dress fits well. Wearing to an event. Thank you seller.,1,*******,2017/1/17,Recommend
61,"Good service and fast delivery. However, i bought a total of 6 pieces. Suppose to be a white shorts, it became black instead. And have yet to receive another piece, only received 5 upon delivery. Have yet to receive item 5",1,*******,2017/1/17,Highly Recommend
62,Out of 3 items I bought..only 1 is suitable..the white shirt is too short and totally not the same as picture hence it is like an uniform white shirt!!! The white off shoulder is a chiffon top n no lining..pull down as off shoulder is too small..measurement don't tally..disappointed..only the black lace top is acceptable. money wasted..,1,*******,2017/1/16,Not Recommend
63,"items received within a week! thanks for the quick service.\
nice clothings, although some of the items cutting are too big.",1,*******,2017/1/16,Highly Recommend
64,"Ordered two items, delivery takes a week to deliver. When I opened the package, one of my items turned up to be in poor condition. The button fell off even before I start to unfold my clothes. As it is too troublesome for me to exchange back to seller, I will just accept it. However, please check the items meticulously before deliver",1,*******,2017/1/16,netural
65,Received clothes rather quickly  clothes look a little big.,1,*******,2017/1/16,Recommend
66,"All items received in good order, thank u",1,*******,2017/1/16,Highly Recommend
67,Received in good condition. Quality ok.,1,*******,2017/1/16,Highly Recommend
68,Received item with many thanks and satisfaction,1,*******,2017/1/16,Highly Recommend
69,Good. Some of the clothes measurement are quite big,1,*******,2017/1/16,Highly Recommend
70,Bought 5pcs. Only 4 received. Please see me the missing white blouse.,1,*******,2017/1/16,netural
71,Size was too big as i was too ambitious. Material was good.,1,*******,2017/1/16,Recommend
72,True to size and material is good.,1,*******,2017/1/16,Recommend
73,received.................,1,*******,2017/1/16,Recommend
74,received in good condition...,1,*******,2017/1/16,netural
75,Item received with satisfaction,1,*******,2017/1/16,Highly Recommend
76,Pending 1 dress from my order. (Wine dress) Hope seller update me soon.,1,*******,2017/1/16,Recommend
77,"Bought 5 pieces of apparels. First pic of the white lace top is very sheer and cheap-like quality. Am not going to wear it. \
\
The second pic is fleece-like frabric, not suitable for Sg weather. Good for winter. \
\
Last pic quality is acceptable and suitable for humid Sg weather. Overall purchase is worth it.",1,*******,2017/1/16,Recommend
78,item recvd in good condition,1,*******,2017/1/16,netural
79,The materials quite thin....,1,*******,2017/1/16,netural
80,"fast delivey. liked it. 3 were as described, 1 not so much but ok",1,*******,2017/1/16,Highly Recommend
81,received all items....,1,*******,2017/1/16,Recommend
82,"Sorry for my late reply, goods well received with thanks",1,*******,2017/1/15,Recommend
83,Items received with thanks,1,*******,2017/1/15,Highly Recommend
84,"Good buy, fast delivery!",1,*******,2017/1/15,Recommend
85,Love the clothes! Good material and cheap! Will def buy more+,1,*******,2017/1/15,Highly Recommend
86,Quality so so but for tat price guess one cnt be too picky. Material is quite rough cutting so so not something i can wear to office confidently.,1,*******,2017/1/15,Not Recommend
87,Thks..received items in good condition...,1,*******,2017/1/15,Highly Recommend
88,Satisfied purchase will buy again!,1,*******,2017/1/15,Highly Recommend
89,Bought 3 pieces. The measurements for the tops are OK but the bottom is too big for me. I can't wear it.,1,*******,2017/1/15,Recommend
90,item received within few days. quality of dress and blouse is poor.,1,*******,2017/1/15,netural
91,"Price is low.. most products are ok.. satisfied 3 out of 4 items\
MY-X16, the product do not look like the picture. Actual item looks low quality, not wearing as I don't like it ..\
MW - X11 is nice, but too thick .. \
MA-X7 is ok, normal top ..\
MW-X18 is ok, nice colour, normal top...",1,*******,2017/1/15,netural
92,"This isn't the first time ordering from seller, but however this time was kinda disappointing. The items were not true to pic and measurement was totally not right.",1,*******,2017/1/15,netural
93,Very very very good excellent. I love it,1,*******,2017/1/15,Highly Recommend
94,Fast delivery..item received in good condition..value for money,1,*******,2017/1/15,Highly Recommend
95,Repeated order.. price is cheap. Material is ok,1,*******,2017/1/15,Recommend
96,Seller do not contact to check whether we want another colour when they do not have the one that we oredered. They just give me a random colour which we do not like. Do not like the quality of the product. Will not buy from them anymore.,1,*******,2017/1/15,Not Recommend
97,"fast delivery, satisfied with material.",1,*******,2017/1/15,Highly Recommend
98,"MA/X1 type size is smaller than the size chart. Other items are ok, delivery is fast as promised. But don't expect high quality for the low price.",1,*******,2017/1/15,netural
99,I buy 2 pc shirt but I only received 1 pc. I ask them to check. They said don't have the colour  can change to other colors. I said OK. I change color. Other day they said not stock for the colour. They have no stock should in force us before they send out the shirt.,1,*******,2017/1/15,Highly Recommend
100,My order took approx. 2 weeks plus to reach me. Quality overall ok but i need to send my 1 piece denim dress to tailor as there's no way for me to put it on. Please refer to photos for detail.,1,*******,2017/1/15,netural
101,"Fast delivery , item well received , quality acceptable .",1,*******,2017/1/15,Recommend
102,Always shop here ... item value for money,1,*******,2017/1/15,Highly Recommend
103,Highly Recommended!!!,1,*******,2017/1/15,Highly Recommend
104,Item received in good condition..,1,*******,2017/1/15,Recommend
105,Delivery was super fast and clothes quality were goood,1,*******,2017/1/15,Highly Recommend
106,Very good product.quick delivery.nice,1,*******,2017/1/14,Highly Recommend
107,The material of the white one no good. Look different from the picture. But for the other two is ok.,1,*******,2017/1/14,Recommend
108,It is gud and fast delivery,1,*******,2017/1/14,Highly Recommend
109,"Prompt delivery.  Love the outfit,   my second piece.",1,*******,2017/1/14,Highly Recommend
110,"Nice good. Fast delivery. Some is good quality some is okok. Overall, I will buy again if I see designs I like",1,*******,2017/1/14,Highly Recommend
111,"disappointed with the size,  had chosen a m size but looks like xl or xxl,  cannot wear n not worth for alteration , hv to give away :(",1,*******,2017/1/14,netural
112,Its too small ... Please let mr know how to exchange,1,*******,2017/1/14,Not Recommend
113,"Order a few pcs, got 1 pcs got hole. Others ok, but the quality is cheap quality. For that price i think is ok.",1,*******,2017/1/14,Highly Recommend
114,"received in good time.\
Will buy more if.needed.",1,*******,2017/1/14,Recommend
115,"Material of the clothes is abit of low quality, and delivery within a week.",1,*******,2017/1/14,Recommend
116,size different from what is said,1,*******,2017/1/14,netural
117,Item received in good condition,1,*******,2017/1/14,Recommend
118,Items received 7 days later. Some of the clothing quality is quite good given the price but some are not.,1,*******,2017/1/14,netural
119,Items received in well packaged conditions and fast delivery,1,*******,2017/1/14,Highly Recommend
120,Product was VERY different from what was shown in pic. Totally not what I wanted.,1,*******,2017/1/14,Not Recommend
121,Items as expected. a bit big though,1,*******,2017/1/14,Recommend
122,"All items are received in good conditions. Always purchase from this seller, all items are wroth to buy.",1,*******,2017/1/14,Highly Recommend
123,Prices and material is good for the price.....will buy again,1,*******,2017/1/14,Recommend
124,Fast delivery. Material good quality and nice design fit me well,1,*******,2017/1/14,Highly Recommend
125,Size is totally different. Material is no good. Waste of money.,1,*******,2017/1/14,Not Recommend
126,"Overall, happy with the products except that some materials are too thick for Singapore weather.",1,*******,2017/1/13,Highly Recommend
127,No bad.........................,1,*******,2017/1/13,Recommend
128,1 out of 4 size is out...the rest acceptable with the price paid,1,*******,2017/1/13,netural
129,It's very comfortable. This is my second order.,1,*******,2017/1/13,Highly Recommend
130,Quality ok. Fast delivery,1,*******,2017/1/13,Recommend
131,"Bought the shirt at $13 (time sales), after ironing, the best it gets is still very crumpled. Bought 4 items fr this store. Each of the item ranges b/w $6-$13. If you were to chance upon these items outside, will not buy them even if they are priced at $3 each (coz the quality isnt worth that amt). 1st n last time patronising this store. Most of the clothes feels rough against the skin.",1,*******,2017/1/13,Not Recommend
132,"Bought 4 items, 3 arrived n missing one. Wrote to seller for 2 days but still no reply.  Skirt Colour looked different from post, material so so only. Only saving grace is the white dress.",1,*******,2017/1/13,netural
133,Size is ok.Material also ok,1,*******,2017/1/13,netural
134,Quality ok same as practical,1,*******,2017/1/13,Recommend
135,U get what uve paid for. Not all are acceptable. Some are very different from photo n measurement doesnt match as well.,1,*******,2017/1/13,Recommend
136,Items rec'd in good hands. Thank you seller.,1,*******,2017/1/13,Recommend
137,Order received with good quality. The size just bigger abit than my expected. Overall is ok.,1,*******,2017/1/13,Highly Recommend
138,gotmy item in good conditio. item is as per stated.,1,*******,2017/1/13,Recommend
139,Fast delivery.. I like it.. Thank you,1,*******,2017/1/13,Recommend
140,Wrong item sent and blouse is not the same as picture.. will not order.again,1,*******,2017/1/13,Not Recommend
141,fast delivery. but i bought the wrong size.,1,*******,2017/1/13,netural
142,Items received.  Will buy again soon,1,*******,2017/1/13,Recommend
143,"Received, well packed and fast delivery",1,*******,2017/1/13,Highly Recommend
144,"Items were received in 1 wk time. Quality and fit is good. 1 error from seller thou, they send wrong garment to me.",1,*******,2017/1/13,Highly Recommend
145,The cutting of the clothes seen not accurate. L size seen like S size. Now I got to buy again other clothes for cny. Abit disappointed. But the material is good.,1,*******,2017/1/13,Recommend
146,thank you so much seller,1,*******,2017/1/13,Highly Recommend
147,"Received in 3 day's,  the quality is good and I love it. Thanks.",1,*******,2017/1/13,Highly Recommend
148,"Fast delivery,  you get what you paid for.",1,*******,2017/1/13,Recommend
149,Size seems quite accurate. Some tops cutting rather strange. Hit or miss.,1,*******,2017/1/13,Recommend
150,Fast delivery &amp; items received in gd condition.,1,*******,2017/1/13,Highly Recommend
151,Fast delivery &amp; items received in gd condition.,1,*******,2017/1/13,Highly Recommend
152,Nice clothing all able to fix well.. delivery within a few days,1,*******,2017/1/13,Highly Recommend
153,"first time bought with this seller. received 5 item just only one the shirt quality so so, other item ook. thanks",1,*******,2017/1/12,Recommend
154,Received the item in good condition... fits well,1,*******,2017/1/12,Highly Recommend
155,Fast delivery... Bought 6 blouse and all fit nicely... Will order more in future...,1,*******,2017/1/12,Highly Recommend
156,Cheap quality clothing,1,*******,2017/1/12,Not Recommend
157,"Ordered 6 pcs in total. MHX18 has weird cutting. The top is so short that it looks, like a cropped top. Another piece does not look like what is shown in the, picture at all. The rest are OK.",1,*******,2017/1/12,Recommend
158,my 2nd times purchase!!! just nice before CNY!!!,1,*******,2017/1/12,Highly Recommend
159,Item well received. Fast delivery,1,*******,2017/1/12,Highly Recommend
160,Ordered on 06Jan17 and received items on 12Jan17. Out of 5 items only 2 is suitable for me.  The cutting is a little weird.,1,*******,2017/1/12,netural
161,"Received all my items in good condition, satisfied with the price too hope have more great deal coming up!  just washed it, can't wait to wear it",1,*******,2017/1/12,Recommend
162,"White 1 size smaller, red &amp; blue 2 size bigger.... So disappointed.. Had requested to change or refund. Prefer to change because quite like it.. Await seller good news!",1,*******,2017/1/12,netural
163,"Took about 1 week to receive the order. \
Seller's photos are really for illustrations purposes only.. nice to see but disappointed when received the clothes.. both materials and cutting are no good.. they looked like pyjamas more when put on..",1,*******,2017/1/12,Not Recommend
164,Overall quality not bad,1,*******,2017/1/12,Recommend
165,"Fast delivery.\
I bought 14 items and received only 13 items.\
I have not received MR/X7 (Red color,3XL).\
Please check for me.",1,*******,2017/1/12,Recommend
166,items received in good condition. quality is good for the price. thanks seller!,1,*******,2017/1/12,Recommend
167,"Bought 4 pieces, only 1 not quite true to size. The rest ok and will buy from seller again.",1,*******,2017/1/12,Recommend
168,Kind of upset as tis is my 1st time buying from tis seller &amp; I brought a bigger size &amp; msg seller but to no respond. This suppose to be my CNY top. Disappointed.,1,*******,2017/1/12,Not Recommend
169,Delivery took more than 1 week. Have yet to try.,1,*******,2017/1/12,Recommend
170,Fast delivery but size measurements are not accurate :( Like really big difference.,1,*******,2017/1/12,Recommend
171,Thank you. Received in good condition,1,*******,2017/1/12,Recommend
172,Fast and good delivery service,1,*******,2017/1/12,Highly Recommend
173,"Thanks for the fast delivery, but was disappointed with the White Top I purchased. Its stained and thread coming off the blouse. Stain cannot be removed.. ;(",1,*******,2017/1/12,Recommend
174,"size can fix in nicely, fast delivery, good condition. will order again~",1,*******,2017/1/12,Recommend
175,Received but size all cannot wear.....  Seller can I change the size???,1,*******,2017/1/12,netural
176,Speedy delivery! Earlier than expected! :D Good material and worth the money.,1,*******,2017/1/12,Highly Recommend
177,Received thanks seller.,1,*******,2017/1/12,Highly Recommend
178,Item as reflected in image. Happy with the purchase.,1,*******,2017/1/12,Highly Recommend
179,pictures are for illustration purposes only. buy at your own risk.,1,*******,2017/1/12,Not Recommend
180,Bought 4 items. Material not so good. Sometimes what you pay is what quality you get perhaps.,1,*******,2017/1/12,Not Recommend
181,Received the items. Overall still ok for the price you paid for.,1,*******,2017/1/12,netural
182,"Delivery received, quality of clothes...is what you paid for...",1,*******,2017/1/12,netural
183,Some pieces came to be big.,1,*******,2017/1/12,netural
184,pay what and u get what...,1,*******,2017/1/12,netural
185,received in good condition! only 2pcs size no match in measurement list.,1,*******,2017/1/12,Recommend
186,"Fast delivery, cut well and made well.",1,*******,2017/1/12,Highly Recommend
187,"Received with good condition, but quality so so, no complaint with this price.",1,*******,2017/1/12,netural
188,"Fast delivery,fits well and value for money!",1,*******,2017/1/12,Recommend
189,Received the item in the good condition.,1,*******,2017/1/12,Highly Recommend
190,"Ordered on 8th jan and received on 11 jan! Really fast considering it's shipped from guangzhou! Item in good condition and of decent material. However, it doesn't fits me well cause i have big hips... :( size m fits my shoulders, arms and length is good, just the hips it's a little fitting so it's not exactly loose fitting like how it should be. Probably won't be wearing it. Item seems affordable but after shipping and all it's around $12 which is not that cheap considering the material.",1,*******,2017/1/12,Recommend
191,"item is nice unfortunately, too short as a dress",1,*******,2017/1/12,netural
192,Overall OK OK ......goooood,1,*******,2017/1/11,Highly Recommend
193,"Items received in good\
Condition",1,*******,2017/1/11,Highly Recommend
194,Fits well and value for money!,1,*******,2017/1/11,Highly Recommend
195,"Fits well! No lining though. Seams are not sewn too, may fray after one or two washes. But very cheap!",1,*******,2017/1/11,Recommend
196,"Items received within 5days. \
Quality look so so only, and size not very fix.",1,*******,2017/1/11,netural
197,Received items in good condition. Chose the  size based on the measurements provided but too tight for me. Should order bigger sizes.,1,*******,2017/1/11,netural
198,Size is small. Blouse is shorter than expected.,1,*******,2017/1/11,netural
199,Items received fast and nicely packed.,1,*******,2017/1/11,Highly Recommend
200,Well received and size is just nice.  Thanks seller.,1,*******,2017/1/11,Recommend
201,Item received in good condition. Fast delivery and fit nicely,1,*******,2017/1/11,Highly Recommend
202,"Thanks, i received my item.",1,*******,2017/1/11,Highly Recommend
203,Goods received in good condition.,1,*******,2017/1/11,Recommend
204,Fast and value for money quality,1,*******,2017/1/11,Highly Recommend
205,Shipping was fast. But Item have some defects. Quality not bad. Cheap.,1,*******,2017/1/11,netural
206,"Received the items in order, however, the sizes of the skirt seems a little too big.",1,*******,2017/1/11,netural
207,Size is smaller than expected. Good quality.,1,*******,2017/1/11,Recommend
208,Order countless times from seller. Fast delivery. Sizing are all accurate.,1,*******,2017/1/11,Highly Recommend
209,very fast delivery and worth with the price,1,*******,2017/1/11,Highly Recommend
210,Items are well received,1,*******,2017/1/11,Recommend
211,Delivery fast quality is decent for that price,1,*******,2017/1/11,Highly Recommend
212,"Super fast delivery. Bought 1 size bigger, fits ok. Thanks seller!",1,*******,2017/1/11,Highly Recommend
213,"Size is too big, or doesnt look like what was shown in picture...",1,*******,2017/1/11,Highly Recommend
214,I bought the wrong size... the material looks good.. will buy again from seller... delivery took 5 days..,1,*******,2017/1/11,Recommend
215,"The pant got a big hole when recevied!!!\
Very disappointed...",1,*******,2017/1/11,netural
216,"Good quality, delivery service",1,*******,2017/1/11,Highly Recommend
217,Received in good conditions. Thank you seller. Material acceptable,1,*******,2017/1/11,Recommend
218,"Truly disappointed with delivery service. Took 20 days or more from order 17Dec16 to delivery on 9 Jan 17, only after chasing n much communication.",1,*******,2017/1/11,netural
219,Item received............,1,*******,2017/1/11,Recommend
220,"item received very fast, very good buy",1,*******,2017/1/11,Recommend
221,"Hi \
Today rec the dress n very fast delivery but nt yet try the dress \
Tks",1,*******,2017/1/11,Highly Recommend
222,"Received in good condition. Fast delivery. Ordered 4 pieces, only 1 cannot wear, but it's okay can give my Daughter. Material is okay, bought when it had group offer. Sizes overall it's correct. Thanks , will order again.",1,*******,2017/1/11,Highly Recommend
223,"Fast delivery. Material is thin, light and soft. Well fit as I order size L.",1,*******,2017/1/11,Highly Recommend
224,"Item received, soft texture....abit small but anyway still can fit.",1,*******,2017/1/11,Highly Recommend
225,Took some time to reach but received it today. Size smaller than what was stated though.,1,*******,2017/1/11,netural
226,4XL sizes d same bt sometimes  can fit sometime cant,1,*******,2017/1/11,Highly Recommend
227,"Ordered a few pieces. Some ok some not ok. But for the price, they are ok.",1,*******,2017/1/11,Highly Recommend
228,"Took quite a while to come. Not exactly what I've expected. Bought 3, all 3 came far off my expectations.",1,*******,2017/1/11,netural
229,The length wasn't what it was stated. Felt chested.,1,*******,2017/1/11,Highly Recommend
230,Blouses were of acceptable quality. Delivery was fast. The short and tee set was too big.,1,*******,2017/1/11,netural
231,"fast delivery, good quality, highly recommend to all",1,*******,2017/1/11,Highly Recommend
232,"All is good.. Delivery within 1 week.\
Bought 5 Pcs. 1 pc the quality so so only.\
Overall is good.",1,*******,2017/1/11,Recommend
233,Item received.................thanks,1,*******,2017/1/11,Highly Recommend
234,"Fast delivery and received in good condition. Quality consider good, will order again.",1,*******,2017/1/11,Highly Recommend
235,"for that value is good enough\
take awhile to delivery",1,*******,2017/1/11,netural
236,"I bought 7 PCs.. all fits me but nice or not is another matter. MA-X10: don buy.. (first pic) material OK but raw cut only edges, medium stretchable.\
MA-X1:  not stretchable, nice material but weird sleeves (2nd pic right)\
MH-X5:  nice material, good for SG, mine is black so not see through, not stretchable\
MK-X17: stretchable, soft &amp; quality material.(3rd pic left)\
MW-X2: sleeve &amp; back material not stretchable, soft material, OK for SG (3rd pic right)\
MA-X6: not stretchable, cutting a bit small, material stiff, not for SG\
MF-X16: not stretchable, sleeve cutting a bit small, thick-not for SG.",1,*******,2017/1/11,Recommend
237,Delivery took quite Long but item is all nicely pack and material is good,1,*******,2017/1/11,Recommend
238,Fast shipping and good quality.,1,*******,2017/1/11,Recommend
239,"Not too bad for the price paid, will buy from seller again if there is nice and new designs.",1,*******,2017/1/11,Recommend
240,"Fast deliver, good material, with the price it is a worth purchase",1,*******,2017/1/11,Highly Recommend
241,"Goods received doesnt look like the one on picture... quality not so good, cotton is not exactly cotton material but for the price paid, cant complaint much. Standard drop, used to be happy with their item.",1,*******,2017/1/11,netural
242,ITEMS RECEIVED BUT SIZE LOOK SIZE FOR 5XL.,1,*******,2017/1/11,Recommend
243,"非常满意! 质地不错,五天就收�?谢谢卖家�?,1""",*******,2017/1/11,Highly Recommend,
244,quality looks ok. accurate sizes too,1,*******,2017/1/11,netural
245,Fast  delivery item well pack have not try yet hope all size OK. Tks seller.,1,*******,2017/1/11,Highly Recommend
246,Order received in good order..,1,*******,2017/1/11,Recommend
247,"Delivery fast.  Material too thick, different from the photo.",1,*******,2017/1/11,Highly Recommend
248,Fast delivery. Not bad. Thanks,1,*******,2017/1/11,Recommend
249,Order size 4XL but it not look like 4XL..,1,*******,2017/1/11,Not Recommend
250,"Not worth to buy for model code: MTX17, a bit expensive to buy this top wear with cutting not fit I need, the rest still acceptable with lower cost selling.",1,*******,2017/1/11,netural
251,quality very nice. fast delivery.,1,*******,2017/1/11,Recommend
252,Fast delivery. 2nd time ordering from seller!,1,*******,2017/1/11,Highly Recommend
253,"received the cloths in good condition, like the cloths. Thanks seller.",1,*******,2017/1/11,Recommend
254,Material so far ok. Hope my mom will love it,1,*******,2017/1/11,Recommend
255,Fsst delivery. .material  is good but the sizes runs a little small..,1,*******,2017/1/11,Highly Recommend
256,Items received in good condition. One wrong dress sent to me but I'm ok with it since the size is correct and I'm lazy to go thru exchange. Delivery rather reasonable waiting time. Thanks again! Will be back for more,1,*******,2017/1/11,Highly Recommend
257,Cheap but quality is not so good.,1,*******,2017/1/11,netural
258,"Received in good condition \
Sizes fit",1,*******,2017/1/11,Highly Recommend
259,"Well package. Slow delivery. Bought this 5 top for my mum cny to wear but only 3 out of the 5 fit well and nicely. One of them is slightly small at the bottom of the shirt, can be amended to fit recommend to get 1 size if you're bottom heavy(code MG 01 Blue). Last piece measurement way off it. Recommend to 2 biger especially if you are top heavy  (code no. MH 19 RED).",1,*******,2017/1/11,Highly Recommend
260,delivery took about a week. brought 5 items some are satisfied some so so but still worth the price. Brought a bit larger size but lucky still can wear all of it. One of the pants Group-MC Type-X2 abit transparent even it is black in color. But another pant which i like is  Group-MF type-X5 want i wanted. thanks seller!,1,*******,2017/1/11,Recommend
261,"Quality consider quite ok for this price~\
Delivery stil ok~(abt 1 week plus)~\
Wil buy again if got promo j Nee design~^^",1,*******,2017/1/11,Highly Recommend
262,Didn't expected the Mickey Mouse Texture is so thick .. too hot to wear in Asia country ..,1,*******,2017/1/10,Recommend
263,Second time ordered from this supplier. Really highly recommended.,1,*******,2017/1/10,Highly Recommend
264,"Item received in good condition, however the size measurements is wrong, order size M but the bust not like size chart given 100..so the clothes I ordered can't wait.!!!",1,*******,2017/1/10,netural
265,Received in good condition.,1,*******,2017/1/10,netural
266,"Bought 4 items generally ok material for the price but need to be careful when choosing the size. Chose XL Denim skirt which was much larger with 'A' line cut compared to the 3XL black lace shorts. Blouse material a bit thin, probably need to wear a camisole and green linen blouse fits nicely but came with a pair of shorts that's too small.",1,*******,2017/1/10,Recommend
267,"MW/X1 is very translucent and this can't tell from the picture. Cutting of MF/X5 not suitable and material is stiff, unlike MC/X2.",1,*******,2017/1/10,netural
268,Don't really like it as the measurement not so accurate. Can't fit in :(,1,*******,2017/1/10,netural
269,Received in good condition.. fit well..,1,*******,2017/1/10,Recommend
270,Sizes from this seller is smaller than posted. price reflected the materials.,1,*******,2017/1/10,netural
271,"Item well received. However, size is bigger than expected.",1,*******,2017/1/10,netural
272,"Yet to try, hopefully sizes are fit",1,*******,2017/1/10,netural
273,Materials are good for the tops but not happy with the pants purchase as the size is too big and its baggy not as in photo.,1,*******,2017/1/10,Highly Recommend
274,Received the items about a week after placing orders. Ordered 4 pieces but only one is totally different from pic. Overall still satisfied considering the price.,1,*******,2017/1/10,Recommend
275,Item came in good packing.. delivery took quite some time,1,*******,2017/1/10,Recommend
276,Delivery took a while but i like the tshirt. Thin n comfy. Tks seller.,1,*******,2017/1/10,Recommend
277,Good condition. Will buy again.,1,*******,2017/1/10,Recommend
278,Not the same as pics. Material of bad quality. Every piece seems very cheapo. Will not wear. Disappointed.,1,*******,2017/1/10,netural
279,Hv just received the items tonite.  Tku seller,1,*******,2017/1/10,Highly Recommend
280,"product received.  Looked nice, yet to try it on.",1,*******,2017/1/10,Recommend
